index,bus_idx,pgmax,pgmin,c0,c1,c2
303,8,21,1,43.97,14.879,0.062
304,9,20,16,1755.23,50.578,0.008
305,9,20,16,1755.23,50.578,0.008
306,9,20,16,1755.23,50.578,0.008
307,9,20,16,1755.23,50.578,0.008
308,9,20,16,1755.23,50.578,0.008
309,9,20,15.6,1755.23,50.578,0.008
310,9,20,15.6,1755.23,50.578,0.008
311,9,20,14.6,1755.23,50.578,0.008
312,9,20,16,1755.23,50.578,0.008
313,9,20,16,1755.23,50.578,0.008
314,9,20,16,1755.23,50.578,0.008
315,9,20,16,1755.23,50.578,0.008
316,9,20,16,1755.23,50.578,0.008
317,9,20,16,1755.23,50.578,0.008
318,9,20,16,1755.23,50.578,0.008
319,9,20,16,1755.23,50.578,0.008
320,11,20,1,43.97,14.879,0.062
321,11,20,1,43.97,14.879,0.062
322,11,20,1,43.97,14.879,0.062
323,11,20,1,43.97,14.879,0.062
324,11,20,1,43.97,14.879,0.062
325,11,20,1,43.97,14.879,0.062
326,11,20,1,43.97,14.879,0.062
327,11,20,1,43.97,14.879,0.062
328,11,20,1,43.97,14.879,0.062
329,11,20,1,43.97,14.879,0.062
330,11,20,1,43.97,14.879,0.062
331,11,20,1,43.97,14.879,0.062
332,11,40.6,40,51.34,14.879,0.053
333,11,59.9,28.51,51.34,14.879,0.053
334,6,21.6,2,1755.23,50.578,0.008
335,5,14.53,0,43.97,14.879,0.062
336,5,14.53,0,43.97,14.879,0.062
337,5,14.53,0,43.97,14.879,0.062
338,3,18.75,8.3,51.34,14.879,0.053
339,3,18.75,8.3,51.34,14.879,0.053
340,1,454.7,109.13,1074.56,20.945,0.005
341,1,659.7,220,1628.9,20.773,0.003
342,0,183.6,125,2249.86,9.547,0.032
343,0,183.6,125,2249.86,9.547,0.032
344,0,258.4,125,993.75,11.398,0.026
345,0,325.2,110,993.75,11.398,0.026
346,0,112.5,110,588.04,18.772,0.009
347,0,112.5,110,588.04,18.772,0.009
348,0,112.5,110,588.04,18.772,0.009
349,0,112.5,110,588.04,18.772,0.009
350,7,78.6,24,0,0,0
351,11,38.3,30.6,51.34,14.879,0.053
352,11,55.3,40.6,51.34,14.879,0.053
353,2,49.2,45,51.34,14.879,0.053
354,2,39,15,51.34,14.879,0.053
355,11,48.7,30,51.34,14.879,0.053
356,11,48.7,30,51.34,14.879,0.053
357,11,48.7,30,51.34,14.879,0.053
358,11,75.2,14,588.04,18.772,0.009
359,6,41.9,5,318.86,13.537,0.026
360,0,47,1,318.86,13.537,0.026
361,0,60.5,26,318.86,13.537,0.026
362,0,47.7,42,318.86,13.537,0.026
